time,throttle_left,throttle_right,omega_left,omega_right,ticks_left,ticks_right,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,ori_x,ori_y,ori_z,ori_w
1752506862.4500897,0.30000001192092896,0.30000001192092896,4.954798221588135,6.739593505859375,103,134,-0.0383705972957532,0.05542419609386573,-0.6091332320700821,0.05859375,-0.0203857421875,-1.4090576171875,-0.3285174229867889,-0.9442416948123272,0.0,0.021998285661920997
1752506862.5000973,0.30000001192092896,0.30000001192092896,4.743380069732666,6.92245626449585,108,141,-0.031176110302799476,0.08047166932859352,-0.6963996946697986,0.075439453125,0.0042724609375,-1.2386474609375,0.05651746164921262,-0.9979368942632398,0.0,0.03045868672429755
1752506862.5501049,0.30000001192092896,0.30000001192092896,4.969208240509033,6.800034046173096,114,149,-0.050361408950676076,-0.07394333853869106,-0.6369785613576252,0.01611328125,-0.14599609375,-1.154296875,-0.9919748542507013,-0.10948217454940852,0.0,0.06324193221457272
1752506862.6000988,0.30000001192092896,0.30000001192092896,5.044829845428467,6.913776397705078,119,156,-0.008526799399056265,-0.021983154700691936,-0.7219800928669674,0.020263671875,0.0045166015625,-1.196044921875,0.21754478997363894,-0.9760117604222719,0.0,0.008678010874785957
1752506862.6500993,0.30000001192092896,0.30000001192092896,4.943861484527588,7.256416320800781,124,164,-0.15188361429568975,-0.025047473234727783,-0.7038606441439728,0.1060791015625,0.0169677734375,-1.5030517578125,0.15784567990769738,-0.9868193945308563,0.0,0.03566824795572203
1752506862.7001047,0.30000001192092896,0.30000001192092896,4.756924152374268,7.029500484466553,129,171,-0.13829402775344382,0.0738101072980808,-0.7968560500899302,0.03955078125,-0.110595703125,-1.398681640625,-0.9407747425265114,-0.33643600063861995,0.0,0.04187721693793091
1752506862.7501056,0.30000001192092896,0.30000001192092896,4.587831974029541,7.016889572143555,134,179,-0.05209341507860938,-0.023315467106794475,-0.654698316358789,0.0438232421875,-0.0047607421875,-1.1812744140625,-0.10798090198644864,-0.9939780464906426,0.0,0.01864853615807443
1752506862.8001063,0.30000001192092896,0.30000001192092896,4.648059844970703,6.340733051300049,139,185,0.055690658575086247,-0.07620826962906538,-0.5786232779703339,0.023681640625,0.0069580078125,-1.1826171875,0.2818832131382252,-0.9593919885757137,0.0,0.010433906632097208
1752506862.850062,0.30000001192092896,0.30000001192092896,4.715694427490234,6.135092735290527,144,192,-0.08113782553164478,-0.05222664631921963,-0.424075038862439,0.062744140625,0.0379638671875,-1.32470703125,0.5174765390695887,-0.8552506144108313,0.0,0.02764811137231565
1752506862.900092,0.30000001192092896,0.30000001192092896,4.791755676269531,5.88944673538208,149,198,-0.10272128651050597,-0.03810413481453269,-0.3322787140819739,0.138916015625,0.0604248046875,-1.37841796875,0.39827618122414055,-0.9156329176425695,0.0,0.05470323206969865
1752506862.9500954,0.30000001192092896,0.30000001192092896,4.752956390380859,5.820094585418701,154,204,-0.09192955602107537,-0.049695252747624805,-0.4054226651770034,0.078125,-0.05078125,-1.435791015625,-0.5447022676725558,-0.8380034887270089,0.0,0.032397414615015226
1752506863.0001006,0.30000001192092896,0.30000001192092896,4.798992156982422,5.771242618560791,160,211,-0.07194486992953725,-0.00479632466196915,-0.37771056713007056,0.109375,-0.1021728515625,-1.308837890625,-0.6815318762422349,-0.7295729523453315,0.0,0.05689999008660658
1752506863.0500615,0.30000001192092896,0.30000001192092896,4.781581878662109,5.813690662384033,165,217,-0.017453292519943295,0.037837672333312186,-0.3436033695338455,0.1033935546875,-0.015380859375,-1.345458984375,-0.1470305893274299,-0.9883722949232788,0.0,0.038758385287829315
1752506863.0999908,0.30000001192092896,0.30000001192092896,4.791110515594482,5.793509483337402,170,223,-0.007194486992953725,0.05489127113142472,-0.3583920372415837,0.1121826171875,0.0064697265625,-1.3092041015625,0.057522961777400725,-0.9974264504420993,0.0,0.04279701890120708
1752506863.1499624,0.30000001192092896,0.30000001192092896,4.816341876983643,5.761662006378174,175,229,-0.06408422673353224,-0.15095099561141798,-0.368517611527963,-0.0408935546875,-0.0428466796875,-1.2225341796875,-0.7231904266418474,0.69022448126786,0.0,0.024202732740256406
1752506863.2000735,0.30000001192092896,0.30000001192092896,4.807358264923096,5.699742794036865,180,235,-0.11564471684970061,-0.19105359903510447,-0.28911179212425153,0.000244140625,-0.0419921875,-1.3238525390625,-0.9998574168930303,-0.005813124516819944,0.0,0.015854130923796884
1752506863.2500932,0.30000001192092896,0.30000001192092896,4.798879146575928,5.612847805023193,185,241,-0.08500153150934216,-0.04023583466429676,-0.16600612580037669,0.1168212890625,0.03369140625,-1.5150146484375,0.27688507631856124,-0.9600689059306634,0.0,0.04002936893286596
1752506863.3001056,0.30000001192092896,0.30000001192092896,4.860365390777588,5.507790565490723,191,247,-0.10045635542013163,0.05515773361264523,-0.2363522208425909,0.0947265625,-0.044677734375,-1.4393310546875,-0.4263013847472077,-0.9038521162946261,0.0,0.03631089688150054
1752506863.3500974,0.30000001192092896,0.30000001192092896,4.790957450866699,5.399961948394775,196,253,-0.07460949474174233,0.03464012255866608,-0.25993415043060586,0.0791015625,0.09375,-1.36474609375,0.7635239694122269,-0.6442233491915664,0.0,0.04480429097082307
1752506863.4001036,0.30000001192092896,0.30000001192092896,4.736109733581543,5.4305644035339355,201,259,0.04383307816077362,-0.10218836154806493,-0.24074885178272928,0.0194091796875,-0.0147705078125,-1.21484375,-0.6055602348385297,-0.795736176358068,0.0,0.01003691273979159
1752506863.450094,0.30000001192092896,0.30000001192092896,4.79874849319458,5.4898200035095215,206,264,-0.0671485452675681,-0.05235987755982989,-0.3340107202099072,0.074951171875,-0.124755859375,-1.276611328125,-0.8558164501793021,-0.5141597851370758,0.0,0.05672670403164821
1752506863.500106,0.30000001192092896,0.30000001192092896,4.7835798263549805,5.627730369567871,211,271,-0.05156049011616837,-0.1552143953109461,-0.25993415043060586,-0.0439453125,-0.0179443359375,-1.0859375,-0.3779417877563502,0.9255717251175923,0.0,0.02184002587860672
1752506863.5500987,0.30000001192092896,0.30000001192092896,4.886524677276611,5.690215587615967,216,277,-0.14801990831799236,-0.13069984703865933,-0.3301470142322098,0.064697265625,0.0599365234375,-1.2823486328125,0.679200698085291,-0.7331494297051002,0.0,0.034326745309450096
1752506863.600099,0.30000001192092896,0.30000001192092896,4.862044334411621,5.792166233062744,222,283,0.07620826962906538,-0.0006661562030512709,-0.3755788672803065,0.0494384765625,-0.1063232421875,-1.3302001953125,-0.905891355555619,-0.42122387944893874,0.0,0.04394650511234368
1752506863.6500933,0.30000001192092896,0.30000001192092896,4.836514472961426,5.859396457672119,227,289,-0.11298009203749554,-0.04929555902579404,-0.4659096484140588,0.0023193359375,-0.0992431640625,-1.403076171875,-0.9991036147734016,-0.023349284970104096,0.0,0.03530974140526955
1752506863.6999862,0.30000001192092896,0.30000001192092896,4.871823787689209,6.072176456451416,232,296,-0.032108728987071254,-0.14908575824287443,-0.38930168506316265,0.0894775390625,0.0628662109375,-1.2764892578125,0.5743601836582898,-0.8174874070320901,0.0,0.042716727074594424
1752506863.7499561,0.30000001192092896,0.30000001192092896,5.122531414031982,6.149443626403809,238,302,-0.20011332339660176,-0.12390505376753637,-0.40995252735775206,0.0606689453125,0.0712890625,-1.4949951171875,0.7611808570623727,-0.6477857636301357,0.0,0.03126191420744735
1752506863.8000622,0.30000001192092896,0.30000001192092896,5.306558132171631,6.3815765380859375,243,309,0.14015926512198737,0.045298621807486415,-0.3205543649082715,0.0528564453125,0.04345703125,-1.336181640625,0.6348739266136341,-0.7721921635497291,0.0,0.025580458529399195
1752506863.8501525,0.30000001192092896,0.30000001192092896,5.375102996826172,6.357829570770264,249,316,-0.08540122523117291,-0.1247044412111979,-0.3348101076535687,0.0430908203125,0.0277099609375,-1.3123779296875,0.5407750897627858,-0.8409409986179004,0.0,0.019507412324026085
1752506863.9000764,0.30000001192092896,0.30000001192092896,5.233309268951416,6.290273666381836,255,323,0.062085758124378436,-0.029177641693645662,-0.4415283313823823,0.0340576171875,-0.0369873046875,-1.3692626953125,-0.7355167389545244,-0.6772579873541661,0.0,0.01835062077113817
1752506863.9501057,0.30000001192092896,0.30000001192092896,5.259804725646973,6.4152655601501465,260,330,-0.11404594196237756,0.08233690669713707,-0.3901010725068242,0.0,-0.1092529296875,-1.1480712890625,-0.9988750186109435,-0.0,0.0,0.047420430143423106
1752506864.000106,0.30000001192092896,0.30000001192092896,5.215157985687256,6.600800037384033,266,337,0.12110719771472103,-0.09872434929219834,-0.4764349164222689,-0.0252685546875,-0.0203857421875,-1.2371826171875,-0.6278453956841256,0.7782275263869101,0.0,0.013117785329651254
1752506864.0500622,0.30000001192092896,0.30000001192092896,5.262269973754883,6.606918811798096,272,344,-0.1404257276032079,0.03903675349880447,-0.39396477848452155,0.0609130859375,0.0477294921875,-1.280029296875,0.6164949416978075,-0.7867799895324961,0.0,0.030186668121248848
1752506864.1001017,0.30000001192092896,0.30000001192092896,5.226581573486328,6.3729023933410645,277,351,0.012656967857974145,-0.03437366007744557,-0.3114946405467742,0.0616455078125,0.164306640625,-1.4630126953125,0.9346045423011969,-0.35065029261671954,0.0,0.05965502324011646
1752506864.1500983,0.30000001192092896,0.30000001192092896,5.122398376464844,6.2048163414001465,282,357,-0.22449464042827827,0.0255803981971688,-0.42247626397511595,0.0867919921875,-0.009033203125,-1.5390625,-0.10347808533097484,-0.9942286306800421,0.0,0.028314586211424474
1752506864.2000966,0.30000001192092896,0.30000001192092896,5.025781154632568,6.26317024230957,288,364,-0.07807350699760894,0.02717917308449185,-0.3080306282909076,-0.00927734375,-0.088134765625,-1.3173828125,-0.9939446311418896,0.1046257506465147,0.0,0.03357860220238661
1752506864.2500954,0.30000001192092896,0.30000001192092896,5.204369068145752,6.188942909240723,294,371,-0.029177641693645662,0.057822358424850305,-0.17613170008675602,0.0472412109375,-0.004638671875,-1.3387451171875,-0.09770591013146175,-0.9950575584440973,0.0,0.017720341663035405
1752506864.2999856,0.30000001192092896,0.30000001192092896,5.408764839172363,5.7911505699157715,299,377,-0.01705359879811253,-0.061952526883768184,-0.06488361417719378,0.0653076171875,-0.0830078125,-1.251220703125,-0.7852205222037741,-0.6177837932044399,0.0,0.04209413693100791
1752506864.3500621,0.30000001192092896,0.30000001192092896,5.507603168487549,5.7624688148498535,306,383,-0.03424042883683532,0.12950076587316706,-0.08899846872764978,0.02783203125,0.0635986328125,-1.255126953125,0.9157673774100971,-0.40075808454798867,0.0,0.027623688038707912
1752506864.4000719,0.30000001192092896,0.30000001192092896,5.841686248779297,6.144111156463623,312,390,-0.06528330789902453,0.223828484225227,-0.03983614094246599,-0.066162109375,-0.0531005859375,-1.326904296875,-0.6256036796893092,0.7794878031990933,0.0,0.031918656347782175
1752506864.4500663,0.30000001192092896,0.30000001192092896,5.693244457244873,5.835375785827637,317,396,-0.04663093421358895,-0.05076110267250683,-0.0511607963943376,0.0023193359375,-0.0791015625,-1.3287353515625,-0.9991283047673913,-0.029295428689167343,0.0,0.029739005877075037
1752506864.5000958,0.30000001192092896,0.30000001192092896,5.253199577331543,5.592067718505859,323,402,-0.057689127184240054,0.16880398185319204,-0.1482863707992129,0.0579833984375,0.057861328125,-1.3209228515625,0.7060226258045804,-0.7075121250151385,0.0,0.030961989738524598
1752506864.5501044,0.30000001192092896,0.30000001192092896,5.260035037994385,5.789425849914551,329,408,-0.06328483928987072,-0.07194486992953725,-0.18825574298228911,0.0362548828125,-0.031005859375,-1.3067626953125,-0.649839881689028,-0.759852145124572,0.0,0.018244059744925604
1752506864.6001122,0.30000001192092896,0.30000001192092896,5.295713424682617,5.781320095062256,335,414,0.029444104174866172,0.06475038293658353,-0.2689938747921031,0.07568359375,-0.018798828125,-1.2642822265625,-0.2409477399974539,-0.9700493428468923,0.0,0.03079706207468079
